time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
5.058,0.03836715848160073,1.2470648870652616,-0.0601626231247433,-1.6891919505777775,0.47406524841486297,-0.897807754413333,-0.39837452342753266,0.31305486959334733,1.120566810773878,1,left
5.062,0.037187603661411425,1.2531381181873225,-0.05882973309309198,-1.7257218978958633,0.5026045094526873,-0.9189237204676143,-0.40260674527929635,0.31489762186976417,1.1372791558759145,1,left
5.063,0.036120560763612274,1.2591274328432285,-0.05743069857729807,-1.7630256590241555,0.532387522177904,-0.9401073390314686,-0.40690114234179586,0.31687840421527874,1.1542769686822276,1,left
5.067,0.03517060439061038,1.265023316640783,-0.05596496046755251,-1.8011059147659454,0.5634372675901975,-0.9613471163342141,-0.41125821074077296,0.31899229398810236,1.1715575721399454,1,left
5.0680000000000005,0.034342271415500614,1.2708161280140917,-0.0544320293252872,-1.8399643987539749,0.5957757929355465,-0.9826315153866868,-0.4156783974929496,0.3212341540319474,1.1891179439058275,1,left
5.072,0.03364005751483232,1.2764961099186396,-0.05283149124539801,-1.8796018695120102,0.6294241489030643,-1.0039489514153714,-0.4201620985336608,0.32359863413117457,1.2069547087403232,1,left
5.073,0.03306841374222962,1.2820534021534145,-0.05116301368853894,-1.9200180833359748,0.6644023265558363,-1.0252877869307766,-0.42470965680684203,0.32608017256041966,1.2250641314548256,1,left
5.077,0.03263174308348984,1.2874780543070348,-0.04942635122648495,-1.9612117681062733,0.7007291940886963,-1.046636326491176,-0.4293213604300693,0.3286729977351274,1.243442110462559,1,left
5.078,0.03233439693417771,1.2927600393244807,-0.047621351143981784,-2.0031805981451747,0.7384224335096509,-1.0679828112229264,-0.43399744094753334,0.3313711299697745,1.2620841719843328,1,left
5.082,0.03218067144234738,1.2978892676908536,-0.04574795884588108,-2.0459211702353586,0.7774984773454733,-1.0893154131586418,-0.4387380716840133,0.33416838335089705,1.2809854649611754,1,left
5.083,0.03217480366102739,1.3028556022268554,-0.043806223024478806,-2.089428980917957,0.8179724454758623,-1.1106222294545247,-0.44354336621309715,0.33705836773235837,1.3001407567266348,1,left
5.086,0.032320967456729514,1.3076488734880456,-0.041796300543754196,-2.1336984051906467,0.859858082204486,-1.1318912765481521,-0.4484133769530841,0.34003449086059523,1.3195444294922862,1,left
5.087,0.03262326912251315,1.312258895756945,-0.03971846099428066,-2.17872267672857,0.9031676936791946,-1.1531104843179754,-0.4533480939041862,0.3430899606378635,1.3391904777007386,1,left
5.092,0.033085742649121785,1.3166754836131465,-0.03757309087046328,-2.224493869753055,0.9479120857777072,-1.1742676903057132,-0.45834744353429024,0.3462177875349146,1.3590725062783091,1,left
5.093,0.03371234461682606,1.3208884690633989,-0.03536069732564622,-2.2710028826752935,0.9941005025791224,-1.1953506340627158,-0.4634112877880029,0.34941078718048874,1.37918372970604,1,left
5.093,0.03450694868272199,1.3248877192125563,-0.03308191146898508,-2.318239423644306,1.0417405655456917,-1.2163469516812289,-0.46853942313498853,0.3526615831835189,1.3995169716228404,1,left
5.096,0.0354733396486624,1.3286631544518293,-0.030737491174249107,-2.366191998130662,1.0908382135434194,-1.2372441705713113,-0.47373157954107253,0.35596261025985715,1.4200646645609993,1,left
5.0969999999999995,0.036615207101032186,1.3322047671265933,-0.02832832337279265,-2.414847898679537,1.141397643834187,-1.2580297045439446,-0.47898741927848926,0.3593061177198092,1.4408188495291916,1,left
5.101,0.037936138618464,1.3355026406265476,-0.025855425806349145,-2.464193196968784,1.1934212541762748,-1.2786908492606242,-0.4843065355507403,0.3626841733446532,1.4617711753643083,1,left
5.102,0.03943961255079022,1.338546968825372,-0.023319948224363785,-2.514212738309747,1.2469095861743331,-1.2992147781094388,-0.4896884509404329,0.36608866766475073,1.4829128978882875,1,left
5.107,0.04112899038191374,1.3413280757871788,-0.020723173022680775,-2.5648901387305583,1.3018612700240533,-1.3195885385673196,-0.4951326156951957,0.3695113186488375,1.5042348789295439,1,left
5.107,0.04300750869901,1.3438364356517272,-0.01806651533040291,-2.6162077847270693,1.3582729707851922,-1.3397990491061802,-0.5006384058669527,0.37294367681418145,1.525727585269172,1,left
5.1080000000000005,0.04507827079708734,1.3460626926138797,-0.01535152255679554,-2.668146835485588,1.4161393362418344,-1.3598330966922385,-0.5062051213200139,0.37637713076736995,1.5473810875726357,1,left
5.112,0.04734423794955756,1.3479976809265328,-0.012579873411592007,-2.720687226874284,1.4754529462708104,-1.3796773349129143,-0.5118319836236208,0.3798029131855401,1.5691850593681749,1,left
5.113,0.04980822037652804,1.3496324448679986,-0.009753376415238905,-2.773807676219055,1.536204263564406,-1.3993182827571957,-0.517518133844763,0.38321210724789473,1.5911287761336563,1,left
5.1160000000000005,0.05247286794749947,1.3509582586148197,-0.006873967923464388,-2.827485687164319,1.5983815856366472,-1.418742324082895,-0.5232626302572545,0.3865956535273472,1.6132011145540452,1,left
5.117,0.05534066066111414,1.3519666459582482,-0.003943709698869384,-2.8816975544301555,1.6619709981887598,-1.4379357078181303,-0.5290644459832339,0.38994435735211896,1.6353905520121108,1,left
5.121,0.058413898947430196,1.3526493998083708,-0.0009647860656033861,-2.93641836856176,1.7269563299925041,-1.456884548951819,-0.5349224665834197,0.3932488966470622,1.6576851663753887,1,left
5.121,0.061694693839258026,1.352998601442214,0.0020604993189223216,-2.991622020825373,1.7933191094699759,-1.4755748303689527,-0.5408354876126226,0.3964998302644089,1.6800726361427725,1,left
5.126,0.06518495706125407,1.3530066394650941,0.005129727047271781,-3.0472812084063543,1.8610385231525106,-1.4939924055857652,-0.546802212157177,0.39968760681354626,1.7025402410144612,1,left
5.127000000000001,0.06888639108913588,1.3526662284651036,0.008240365881007123,-3.1033674400665565,1.93009137620534,-1.5121230024391938,-0.5528212483711203,0.4028025739992906,1.7250748629492776,1,left
5.131,0.07280047923538074,1.3519704273472357,0.01138977699630881,-3.1598510424195116,2.000452055208597,-1.529952227784299,-0.5588911070281022,0.40583498847797844,1.7476629877736456,1,left
5.132000000000001,0.07692847582031048,1.3509126573349486,0.014575218554712529,-3.216701166983274,2.07209249338916,-1.547465573252515,-0.5650101991061621,0.408775026240512,1.770290707406743,1,left
5.136,0.08127139648775272,1.349486719622819,0.01779385060015015,-3.273885798171976,2.1449821385016508,-1.5646484221227939,-0.5711768334226626,0.4116127935312858,1.7929437227665341,1,left
5.136,0.08583000872430677,1.3476868126549064,0.021042740280514158,-3.3313717623882826,2.219087923560653,-1.581486057356822,-0.5773892143368123,0.4143383383116857,1.8156073474215408,1,left
5.141,0.09060482264286225,1.3455075489907877,0.024318867383485963,-3.389124738380005,2.294374240629888,-1.5979636708485907,-0.5836454395373548,0.41694166227658336,1.8382665120533301,1,left
5.141,0.09559608209396948,1.342943971706882,0.027619130163186158,-3.447109269025064,2.3708029178776755,-1.6140663739376568,-0.5899434979331313,0.4194127334319584,1.8609057697947564,1,left
5.146,0.10080375617030707,1.3399915702659644,0.030940351419501542,-3.505288774709882,2.4483332001114793,-1.6297792092344232,-0.5962812676643626,0.42174149924145593,1.883509302509037,1,left
5.147,0.10622753116731252,1.3366462957726382,0.034279284779359286,-3.563625568467027,2.526921733007738,-1.6450871638047468,-0.6026565142526179,0.42391790034933635,1.90606092807472,1,left
5.151,0.11186680305556063,1.3329045755173599,0.0376326211210645,-3.6220808730386125,2.606522551256455,-1.6599751837600998,-0.6090668889075572,0.4259318848868941,1.928544108741544,1,left
5.151,0.1177206705073192,1.3287633266979055,0.0409969950830438,-3.6806148400325065,2.687087070843175,-1.6744281902983937,-0.6155099270086503,0.4277734233690149,1.9509419606220946,1,left
5.157,0.1237879285029395,1.3242199691964158,0.044368991613694286,-3.7391865713388386,2.768564085694007,-1.6884310972394059,-0.6219830467801809,0.42943252418710076,1.9732372643839997,1,left
5.157,0.13006706252823394,1.319272437282505,0.047745152552932095,-3.7977541429746644,2.8508997689122735,-1.701968830097543,-0.6284835481779479,0.43089924970412724,1.9954124772072244,1,left
5.16,0.13655624336890937,1.3139191901087526,0.05112198327930091,-3.856274631524836,2.934037678838103,-1.7150263467334368,-0.6350086120061643,0.43216373295710214,2.0174497460707626,1,left
5.16,0.14325332251459422,1.3081592208681592,0.054495959487961126,-3.91470414334726,3.0179187701649224,-1.7275886596245582,-0.6415552992767316,0.43321619496010233,2.0393309223988254,1,left
5.1610000000000005,0.15015582819724904,1.3019920644994714,0.057863534168487496,-3.9729978467106952,3.1024814103492444,-1.7396408597937125,-0.6481205507910716,0.43404696254267844,2.0610375779266903,1,left
5.165,0.157260962100503,1.2954178038531157,0.061221144830990934,-4.031110007033108,3.1876614015524707,-1.7511681424328918,-0.654701186867039,0.434646486553729,2.0825510213407408,1,left
5.165,0.16456559679052085,1.2884370742555111,0.06456522100028121,-4.088994025388344,3.2733920083555295,-1.7621558342585417,-0.6612939071014313,0.4350053602025034,2.1038523150771864,1,left
5.17,0.17206627394227578,1.2810510664269517,0.06789219196983202,-4.146602480448479,3.3596039914891485,-1.7725894226328327,-0.667895290090732,0.43511433736558974,2.12492229183304,1,left
5.17,0.17975920346610869,1.273261527726541,0.07119849477899348,-4.203887174028687,3.4462256478243125,-1.7824545864840196,-0.6745017930905034,0.4349643507921866,2.145741570647617,1,left
5.175,0.1876402636677134,1.2650707617240542,0.07448058234704034,-4.260799180400813,3.5331828568690407,-1.7917372290574243,-0.6811097516259427,0.4345465301971029,2.166290572581788,1,left
5.175,0.19570500258825269,1.2564816261306098,0.07773493167185264,-4.317288899541033,3.6203991340189896,-1.8004235125269799,-0.6877153790725594,0.4338522202417787,2.1865495360554794,1,left
5.175,0.20394864066284418,1.2474975291507113,0.08095805198782768,-4.373306114386491,3.707795690720522,-1.8084998944443256,-0.6943147662259447,0.4328729984028776,2.206498531903179,1,left
5.18,0.2123660748068528,1.2381224243367166,0.08414649278244594,-4.428800051726727,3.795291501255633,-1.8159531657441506,-0.7009038808796072,0.431600692727231,2.2261174782064392,1,left
5.18,0.22095188399992344,1.228360804029395,0.08729685158758478,-4.483719445548278,3.8828033750484714,-1.8227704895608594,-0.7074785674298437,0.4300273994711227,2.2453861549615386,1,left
5.185,0.22970033639572912,1.218217691472945,0.09040578146986175,-4.538012601201457,3.9702460329435088,-1.8289394398532752,-0.7140345465265928,0.428145500621082,2.2642842186395593,1,left
5.185,0.23860539794128288,1.2076986317147576,0.093469998133363,-4.591627459204799,4.057532186355897,-1.8344480390889084,-0.7205674147891924,0.4259476812925145,2.2827912166951996,1,left
5.19,0.24766074244276143,1.1968096814241413,0.096486286535619,-4.644511658307299,4.144572619004971,-1.839284794699415,-0.7270726446059199,0.423426947001633,2.300886602079633,1,left
5.19,0.25685976297234087,1.1855573977695533,0.09945150692532244,-4.696612597874696,4.231276271391867,-1.843438734273617,-0.7335455840361389,0.4205766408052682,2.31854974781166,1,left
5.195,0.2661955844827005,1.1739488264812203,0.10236260023927753,-4.747877499753733,4.317550328271816,-1.8468994395038794,-0.7399814568338069,0.41739046030222865,2.3357599616602656,1,left
5.195,0.2756610774864525,1.1619914892062897,0.10521659283488474,-4.798253469766186,4.40330030937096,-1.8496570788997226,-0.7463753626110264,0.41386247448895624,2.3524965009905303,1,left
5.199,0.28524887266295695,1.1496933702439804,0.10801060057193355,-4.847687558982227,4.488430163596565,-1.8517024392805783,-0.7527222771602216,0.40998714046127366,2.3687385878235925,1,left
5.2,0.294951376267708,1.137062902730939,0.11074183228704829,-4.8961268249202785,4.572842366988274,-1.8530269560576054,-0.7590170529534173,0.40575931995305936,2.384465424160047,1,left
5.204,0.3047607862340353,1.1241089543327254,0.11340759272420799,-4.943518392817947,4.656438024656524,-1.8536227423124731,-0.7652544198369813,0.40117429570170193,2.3996562076148282,1,left
5.205,0.31466910886960126,1.1108408124875424,0.11600528499621048,-4.989809517115965,4.739116976952472,-1.8534826166789649,-0.7714289859400482,0.3962277876291912,2.414290147410181,1,left
5.209,0.32466817605816356,1.0972681692433677,0.11853241265653237,-5.0349476432941485,4.820777910111729,-1.852600130031195,-0.7775352388146982,0.3909159688266896,2.42834648077186,1,left
5.209,0.33474966287924546,1.0834011057271975,0.12098658146095265,-5.0788804701954104,4.9013184716118054,-1.85096959098013,-0.7835675468257989,0.3852354813294036,2.441804489772148,1,left
5.2139999999999995,0.3449051055564285,1.0692500762825619,0.12336550089450771,-5.121556012970709,4.980635390480583,-1.8485860901780018,-0.7895201608082314,0.37918345166753664,2.454643518661695,1,left
5.215,0.3551259196417036,1.0548258923078138,0.12566698553100072,-5.162922666774472,5.05862460279018,-1.8454455234280618,-0.7953872160090368,0.37275750617805664,2.466842991730501,1,left
5.218999999999999,0.36540341834152085,1.0401397058223236,0.12788895627899913,-5.202929271336605,5.135181382567352,-1.8415446135949858,-0.8011627343317947,0.3659557860609541,2.4783824317366756,1,left
5.218999999999999,0.37572883089247283,1.025202992780066,0.13002944155276291,-5.241525176533558,5.210200478348082,-1.836880931309069,-0.8068406269003241,0.35877696216259924,2.489241478939795,1,left
5.224,0.3860933209017731,1.010027536141209,0.13208657839376506,-5.278660309077188,5.283576255600137,-1.8314529144551852,-0.8124146969585464,0.35122024946773506,2.499399910773873,1,left
5.225,0.3964880045782844,0.9946254087050654,0.13405861356117668,-5.314285240436225,5.355202845233326,-1.8252598864352956,-0.8178786431230911,0.3432854212805624,2.508837662193044,1,left
5.229,0.4069039687923095,0.9790089557030709,0.13594390460715744,-5.348351256101106,5.424974298412742,-1.8183020731911101,-0.8232260630006573,0.3349728230595124,2.5175348467000767,1,left
5.229,0.41733228891767987,0.963190777145094,0.13774092095224283,-5.380810426298773,5.492784747885515,-1.810580618971305,-0.8284504571604394,0.3262833857953108,2.5254717779606186,1,left
5.229,0.42776404642657223,0.9471837099049827,0.139448244973775,-5.4116156782596425,5.558528576026647,-1.8020976008255043,-0.833545233413066,0.31721863868782274,2.5326289917146814,1,left
5.234,0.438190346217045,0.9310008095272736,0.1410645731138445,-5.44072087013453,5.622100589804129,-1.7928560418050457,-0.8385037113257563,0.3077807208021794,2.5389872675895258,1,left
5.235,0.44860233364907076,0.9146553317418251,0.142588717003549,-5.468080866654653,5.683396202857902,-1.7828599228483422,-0.8433191269244563,0.29797239145750903,2.5445276505211463,1,left
5.239,0.45899121125289954,0.8981607136849681,0.14401960458969928,-5.4936516166231195,5.742311624881306,-1.7721141933264901,-0.8479846375718824,0.2877970392335505,2.5492314716786355,1,left
5.239,0.4693482550627809,0.881530554840685,0.14535628123987218,-5.517390232321425,5.798744058487413,-1.7606247802225743,-0.852493327031421,0.2772586895532615,2.553080368888619,1,left
5.242999999999999,0.4796648305225342,0.8647785977316902,0.1465979107935284,-5.539255070909445,5.852591903736116,-1.7483985959159685,-0.8568382107307022,0.26636201081325267,2.5560563065756345,1,left
5.242999999999999,0.48993240790938875,0.8479187084048385,0.1477437765233947,-5.559205817786967,5.903754970214011,-1.7354435445344072,-0.8610122412382353,0.25511231903282355,2.5581415952319326,1,left
5.244,0.50014257723129,0.830964856760317,0.14879328197474773,-5.57720357135288,5.952134695167061,-1.7217685268026528,-0.8650083139660432,0.2435155809913383,2.5593189104277085,1,left
5.247999999999999,0.5102870625662443,0.8139310967679174,0.14974595165943058,-5.5932109276447886,5.997634363685723,-1.7073834432571726,-0.8688192731107637,0.23157841582264832,2.559571311370286,1,left
5.247999999999999,0.520357735818325,0.7968315466116928,0.15060143159141923,-5.607192062809674,6.040159325549606,-1.6922991956623368,-0.8724379178451916,0.21930809503425777,2.558882259018201,1,left
5.252999999999999,0.530346629857556,0.7796803688198998,0.15135948965829832,-5.619112811877261,6.079617204715649,-1.6765276864933945,-0.8758570087717256,0.20671254091793181,2.55723563375353,1,left
5.252999999999999,0.5402459509985394,0.7624917504600559,0.15202001582951105,-5.628940743250007,6.115918099918411,-1.6600818164067421,-0.8790692746486539,0.1938003233174706,2.5546157526131554,1,left
5.257999999999999,0.5500480907650813,0.7452798834931603,0.15258302220923062,-5.6366452288445,6.148974776227463,-1.6429754796478113,-0.8820674193996587,0.18058065471841703,2.551007386076951,1,left
